id,Tipus,tp,tb,tt
1,BEBB,3515,1355,4871
2,BEBB,3455,1046,4501
3,BEBB,3217,1567,4783
4,BEBB,3355,1642,4997
5,BEBB,3159,1276,4435
6,BEBB,3270,1296,4566
7,BEBB,3039,1634,4673
8,BEBB,3145,1361,4505
9,BEBB,3262,1221,4483
10,BEBB,2822,1046,3869
11,BEBB,3368,1911,5279
12,BEBB,3569,1615,5184
13,BEBB,2869,1563,4433
14,BEBB,3360,1813,5173
15,BEBB,3414,1065,4479
16,BEBB,3119,1584,4703
17,BEBB,2863,1392,4255
18,BEBB,3512,1499,5011
19,BEBB,3235,1352,4588
20,BEBB,2817,1839,4656
21,BEBB,3593,1387,4980
22,BEBB,3188,1800,4988
23,BEBB,2976,1536,4512
24,BEBB,3274,1278,4553
25,BEBB,3273,1278,4551
26,BEBB,3235,1443,4678
27,BEBB,2913,1359,4272
28,BEBB,3499,1320,4820
29,BEBB,3204,1731,4934
30,BEBB,2860,1671,4531
31,BEBB,3019,1890,4909
32,BEBB,3096,1737,4833
33,BEBB,3303,1366,4669
34,BEBB,3322,1890,5212
35,BEBB,3387,1639,5025
36,BEBB,3584,1342,4926
37,BEBB,3148,1272,4419
38,BEBB,3065,1583,4648
39,BEBB,3098,1490,4588
40,BEBB,3834,1536,5370
41,BEBB,3382,1365,4748
42,BEBB,3086,1267,4353
43,BEBB,3270,1730,5000
44,BEBB,3102,1554,4656
45,BEBB,3325,1123,4448
46,BEBB,3221,1415,4636
47,BEBB,3295,1485,4780
48,BEBB,2940,1131,4071
49,BEBB,3313,1306,4620
50,BEBB,2921,1539,4460
51,BEBB,3114,1825,4939
52,BEBB,3419,1308,4728
53,BEBB,3354,1237,4591
54,BEBB,2915,1737,4651
55,BEBB,3332,1008,4341
56,BEBB,3233,1409,4641
57,BEBB,3530,1682,5212
58,BEBB,3544,1453,4998
59,BEBB,3053,1477,4530
60,BEBB,3015,1064,4080
61,BEBB,2966,1376,4342
62,BEBB,3514,1552,5066
63,BEBB,2879,1393,4273
64,BEBB,3282,1252,4534
65,BEBB,3499,1212,4711
66,BEBB,3111,2052,5163
67,BEBB,3377,1654,5030
68,BEBB,3240,1870,5110
69,BEBB,3086,1655,4742
70,BEBB,3039,1337,4376
71,BEBB,2976,1413,4389
72,BEBB,3321,1445,4766
73,BEBB,3331,1293,4625
74,BEBB,3361,1536,4897
75,BEBB,3597,1881,5478
76,BEBB,3060,1409,4469
77,BEBB,3603,1599,5202
78,BEBB,3049,1263,4313
79,BEBB,2977,1551,4528
80,BEBB,3236,1200,4435
81,BEBB,2650,1307,3957
82,BEBB,3253,1444,4697
83,BEBB,3314,1442,4755
84,BEBB,3179,1638,4816
85,BEBB,3448,1405,4854
86,BEBB,3238,1850,5088
87,BEBB,3127,1023,4149
88,BEBB,3162,1400,4562
89,BEBB,3537,1457,4993
90,BEBB,3501,1775,5275
91,BEBB,2810,1103,3913
92,BEBB,3092,1559,4651
93,BEBB,3134,1617,4751
94,BEBB,3562,895,4457
95,BEBB,3021,1366,4388
96,BEBB,3228,1357,4585
97,BEBB,3136,1137,4274
98,BEBB,3179,1861,5040
99,BEBB,3331,1201,4532
100,BEBB,3159,1352,4511
101,BEBB,3154,1328,4482
102,BEBB,3382,1394,4776
103,BEBB,3352,1389,4741
104,BEBB,3294,1636,4930
105,BEBB,3262,1122,4385
106,BEBB,3212,1448,4660
107,BEBB,3091,1476,4566
108,BEBB,3451,1348,4799
109,BEBB,3276,1303,4578
110,BEBB,2987,1419,4406
111,BEBB,3094,1305,4399
112,BEBB,3226,1313,4538
113,BEBB,3916,1771,5687
114,BEBB,3199,1233,4432
115,BEBB,3751,1425,5176
116,BEBB,3278,1167,4445
117,BEBB,3319,1549,4868
118,BEBB,3004,1620,4623
119,BEBB,3366,1509,4875
120,BEBB,3015,1377,4392
121,BEBB,3490,877,4368
122,BEBB,3396,1350,4745
123,BEBB,2855,1211,4065
124,BEBB,3257,1092,4348
125,BEBB,3397,1639,5036
126,BEBB,3303,1769,5072
127,BEBB,3529,1446,4975
128,BEBB,3255,1192,4447
129,BEBB,3004,1711,4715
130,BEBB,3129,1237,4366
131,BEBB,3174,1733,4907
132,BEBB,3289,1609,4898
133,BEBB,3386,1425,4812
134,BEBB,3210,1558,4768
135,BEBB,3339,1609,4948
136,BEBB,3567,1430,4997
137,BEBB,3463,1486,4949
138,BEBB,2905,1590,4495
139,BEBB,3250,1414,4664
140,BEBB,3260,1882,5142
141,BEBB,3377,1055,4432
142,BEBB,3087,1563,4650
143,BEBB,3127,1360,4487
144,BEBB,3642,1637,5279
145,BEBB,3311,1179,4490
146,BEBB,3123,1543,4665
147,BEBB,3084,959,4044
148,BEBB,3394,1440,4834
149,BEBB,3213,1396,4609
150,BEBB,3138,1632,4770
151,BEBB,3520,1203,4723
152,BEBB,3071,1372,4443
153,BEBB,2991,1868,4858
154,BEBB,3598,1653,5251
155,BEBB,3428,1940,5368
156,BEBB,3124,1350,4474
157,BEBB,3141,1620,4762
158,BEBB,3212,1525,4737
159,BEBB,2876,1404,4280
160,BEBB,3141,1461,4602
161,BEBB,3155,1943,5098
162,BEBB,3000,984,3984
163,BEBB,2944,1267,4211
164,BEBB,3190,1503,4694
165,BEBB,2925,1431,4356
166,BEBB,3371,1670,5041
167,BEBB,3636,1682,5319
168,BEBB,3350,1492,4842
169,BEBB,3212,1579,4791
170,BEBB,3117,1105,4223
171,BEBB,3487,883,4370
172,BEBB,3098,1477,4575
173,BEBB,3138,1431,4569
174,BEBB,3329,1949,5279
175,BEBB,3385,1743,5128
176,BEBB,3278,1194,4473
177,BEBB,2591,1228,3819
178,BEBB,2953,1426,4379
179,BEBB,3173,1440,4612
180,BEBB,3234,1057,4291
181,BEBB,2931,1798,4729
182,BEBB,2911,1506,4417
183,BEBB,3276,1307,4583
184,BEBB,3367,1430,4797
185,BEBB,3208,1072,4280
186,BEBB,2775,1808,4583
187,BEBB,3183,1215,4397
188,BEBB,3588,2038,5626
189,BEBB,3063,1498,4561
190,BEBB,3108,1303,4411
191,BEBB,3202,1189,4391
192,BEBB,3051,1414,4465
193,BEBB,3540,1446,4985
194,BEBB,3350,1188,4538
195,BEBB,3048,1421,4469
196,BEBB,3092,1031,4123
197,BEBB,3008,1129,4137
198,BEBB,3117,1193,4310
199,BEBB,3122,1551,4673
200,BEBB,2989,1451,4441
201,BEBB,3114,1234,4348
202,BEBB,3000,1620,4620
203,BEBB,3742,1163,4905
204,BEBB,3291,1320,4611
205,BEBB,3025,1342,4367
206,BEBB,3353,1713,5066
207,BEBB,3130,1033,4162
208,BEBB,3316,1534,4850
209,BEBB,3147,1084,4232
210,BEBB,3486,1187,4673
211,BEBB,3423,1525,4948
212,BEBB,3493,1110,4603
213,BEBB,3419,1769,5188
214,BEBB,3307,1535,4842
215,BEBB,3094,1691,4785
216,BEBB,3132,1393,4525
217,BEBB,3651,1334,4985
218,BEBB,3199,1656,4855
219,BEBB,3676,1468,5144
220,BEBB,3319,1210,4529
221,BEBB,3018,1888,4905
222,BEBB,3138,1051,4189
223,BEBB,3074,1456,4531
224,BEBB,3026,1512,4537
225,BEBB,3043,1239,4281
226,BEBB,2844,2200,5045
227,BEBB,3542,1577,5119
228,BEBB,2921,1419,4340
229,BEBB,3317,1159,4476
230,BEBB,3282,1272,4553
231,BEBB,3429,1675,5104
232,BEBB,3638,1273,4911
233,BEBB,3375,1269,4645
234,BEBB,3250,1390,4640
235,BEBB,3398,1112,4510
236,BEBB,3365,1308,4673
237,BEBB,3162,1766,4928
238,BEBB,3188,1468,4655
239,BEBB,2875,1853,4727
240,BEBB,3471,1382,4853
241,BEBB,3327,1435,4762
242,BEBB,3005,1422,4427
243,BEBB,2982,1410,4393
244,BEBB,3414,1436,4850
245,BEBB,3716,1356,5072
246,BEBB,3584,1223,4807
247,BEBB,3383,1252,4635
248,BEBB,3595,1401,4996
249,BEBB,3630,1498,5128
250,BEBB,3438,1675,5113
251,BEBB,3333,1919,5252
252,BEBB,3102,1369,4471
253,BEBB,3137,1514,4651
254,BEBB,2801,1171,3972
255,BEBB,3706,1552,5258
256,BEBB,3125,775,3899
257,BEBB,3101,1498,4599
258,BEBB,3272,1811,5083
259,BEBB,3254,1359,4613
260,BEBB,3347,1408,4754
261,BEBB,3332,1584,4916
262,BEBB,3527,1522,5050
263,BEBB,3460,1215,4675
264,BEBB,3361,1595,4956
265,BEBB,3195,1509,4704
266,BEBB,3316,1332,4648
267,BEBB,3032,1602,4634
268,BEBB,3719,1738,5458
269,BEBB,3148,858,4006
270,BEBB,3277,1177,4454
271,BEBB,3251,1379,4630
272,BEBB,2872,1527,4399
273,BEBB,3137,1124,4261
274,BEBB,3553,1626,5179
275,BEBB,3228,1251,4479
276,BEBB,3161,1798,4959
277,BEBB,3109,1628,4737
278,BEBB,3408,1592,5000
279,BEBB,3307,1212,4519
280,BEBB,3700,1409,5109
281,BEBB,3093,1462,4555
282,BEBB,2883,1502,4385
283,BEBB,3397,1560,4957
284,BEBB,3505,1518,5023
285,BEBB,3575,1359,4934
286,BEBB,3304,1896,5200
287,BEBB,2964,1350,4314
288,BEBB,3169,1466,4635
289,BEBB,3018,1179,4197
290,BEBB,2828,1290,4118
291,BEBB,3324,1268,4592
292,BEBB,2968,1435,4403
293,BEBB,3613,1836,5450
294,BEBB,3477,1859,5335
295,BEBB,3463,1395,4858
296,BEBB,3108,1472,4580
297,BEBB,3355,1269,4624
298,BEBB,2827,1513,4339
299,BEBB,2674,1345,4019
300,BEBB,3212,1075,4287
301,BEBB,3426,1750,5176
302,BEBB,3504,1786,5289
303,BEBB,3099,1381,4479
304,BEBB,3422,1377,4799
305,BEBB,3118,1549,4668
306,BEBB,2968,1815,4784
307,BEBB,3394,1409,4803
308,BEBB,3123,1342,4465
309,BEBB,3204,1723,4928
310,BEBB,3210,1371,4582
311,BEBB,2856,1489,4344
312,BEBB,3117,1874,4992
313,BEBB,2917,1702,4619
314,BEBB,3295,1382,4677
315,BEBB,3628,1276,4904
316,BEBB,3333,1595,4928
317,BEBB,3645,1598,5243
318,BEBB,3392,1721,5112
319,BEBB,3452,1431,4883
320,BEBB,3098,1508,4606
321,BEBB,3122,1893,5015
322,BEBB,3548,1315,4863
323,BEBB,3280,1479,4759
324,BEBB,3137,1913,5050
325,BEBB,3173,1684,4857
326,BEBB,3176,1507,4683
327,BEBB,3286,1531,4817
328,BEBB,2927,1619,4546
329,BEBB,3084,1662,4747
330,BEBB,3083,1187,4270
331,BEBB,3044,1329,4373
332,BEBB,3128,2123,5251
333,BEBB,3076,1366,4443
334,BEBB,2871,1376,4246
335,BEBB,3190,1377,4567
336,BEBB,3443,1219,4662
337,BEBB,3215,1449,4664
338,BEBB,3075,1823,4898
339,BEBB,3506,1038,4544
340,BEBB,3369,1206,4575
341,BEBB,3155,1517,4673
342,BEBB,3434,1723,5158
343,BEBB,3113,1458,4571
344,BEBB,3397,1557,4954
345,BEBB,3131,1041,4171
346,BEBB,3213,992,4205
347,BEBB,3110,1129,4240
348,BEBB,2934,1549,4483
349,BEBB,3123,1464,4586
350,BEBB,3896,1252,5148
351,BEBB,3174,1606,4780
352,BEBB,3405,1821,5225
353,BEBB,3430,1613,5043
354,BEBB,3917,1226,5143
355,BEBB,3315,1459,4774
356,BEBB,3445,1399,4843
357,BEBB,3353,1670,5024
358,BEBB,3404,1297,4701
359,BEBB,3374,847,4221
360,BEBB,3517,1397,4914
361,BEBB,3333,1284,4617
362,BEBB,3108,1549,4657
363,BEBB,3344,1130,4474
364,BEBB,3600,1389,4989
365,BEBB,3012,1665,4677
366,BEBB,3051,1469,4520
367,BEBB,3261,1527,4788
368,BEBB,3452,1551,5003
369,BEBB,3025,1708,4732
370,BEBB,3462,1661,5123
371,BEBB,2945,1726,4672
372,BEBB,2777,1734,4511
373,BEBB,3425,1051,4476
374,BEBB,3367,1451,4818
375,BEBB,3506,1777,5283
376,BEBB,2892,1360,4252
377,BEBB,3436,1681,5117
378,BEBB,2889,1560,4449
379,BEBB,3767,1238,5005
380,BEBB,3178,1617,4795
381,BEBB,3048,1249,4297
382,BEBB,3381,1814,5195
383,BEBB,3567,1247,4814
384,BEBB,3507,1236,4743
385,BEBB,2848,2058,4905
386,BEBB,2874,1629,4503
387,BEBB,3575,1477,5052
388,BEBB,3022,1621,4643
389,BEBB,2979,1374,4354
390,BEBB,3377,1417,4794
391,BEBB,3294,1321,4615
392,BEBB,2940,1525,4465
393,BEBB,3288,1351,4638
394,BEBB,3689,1253,4941
395,BEBB,3025,1513,4538
396,BEBB,3407,1172,4579
397,BEBB,3328,1378,4705
398,BEBB,3514,1416,4930
399,BEBB,3162,1280,4442
400,BEBB,3334,1222,4557
401,BEBB,3216,1155,4371
402,BEBB,3100,1088,4188
403,BEBB,2924,1253,4177
404,BEBB,3302,1488,4790
405,BEBB,3285,1345,4630
406,BEBB,3330,1807,5136
407,BEBB,3391,1338,4729
408,BEBB,3475,1320,4795
409,BEBB,3300,1390,4691
410,BEBB,3249,1611,4860
411,BEBB,3396,1604,4999
412,BEBB,2980,1519,4500
413,BEBB,3365,1469,4834
414,BEBB,3109,1755,4864
415,BEBB,2705,1272,3977
416,BEBB,3507,1177,4684
417,BEBB,3583,2085,5668
418,BEBB,3139,1564,4702
419,BEBB,2980,1214,4195
420,BEBB,3323,1527,4850
421,BEBB,3190,1214,4403
422,BEBB,3420,1550,4970
423,BEBB,3100,1469,4569
424,BEBB,3111,1531,4642
425,BEBB,3051,1180,4231
426,BEBB,3696,1003,4699
427,BEBB,3242,1733,4975
428,BEBB,3263,1659,4922
429,BEBB,3675,834,4509
430,BEBB,3384,1571,4954
