id,Tipus,tp,tb,tt
1,BEBB,2745,1564,4308
2,BEBB,3187,1364,4551
3,BEBB,3044,1040,4083
4,BEBB,3396,1267,4663
5,BEBB,3244,1677,4921
6,BEBB,2918,1619,4537
7,BEBB,3048,1401,4449
8,BEBB,3198,1135,4333
9,BEBB,3425,1466,4891
10,BEBB,2926,1201,4127
11,BEBB,3263,1292,4556
12,BEBB,3419,1738,5157
13,BEBB,3183,1526,4709
14,BEBB,3083,1477,4560
15,BEBB,3203,823,4026
16,BEBB,3174,942,4116
17,BEBB,3274,1605,4878
18,BEBB,3175,1500,4675
19,BEBB,3606,1217,4823
20,BEBB,3436,1808,5243
21,BEBB,2999,1653,4652
22,BEBB,3545,1639,5184
23,BEBB,3068,1396,4464
24,BEBB,3541,1765,5307
25,BEBB,3232,1289,4521
26,BEBB,3538,1105,4642
27,BEBB,3259,1474,4733
28,BEBB,2974,1431,4405
29,BEBB,3137,1592,4729
30,BEBB,3163,1443,4606
31,BEBB,3091,1447,4538
32,BEBB,3175,1538,4714
33,BEBB,3382,1944,5325
34,BEBB,3302,1465,4767
35,BEBB,3056,1455,4511
36,BEBB,3491,1137,4628
37,BEBB,3198,1192,4391
38,BEBB,3072,1426,4498
39,BEBB,2867,1627,4494
40,BEBB,3050,1280,4330
41,BEBB,3068,1399,4467
42,BEBB,3139,1749,4888
43,BEBB,3332,1560,4892
44,BEBB,3239,1329,4568
45,BEBB,3258,1179,4438
46,BEBB,3192,1411,4603
47,BEBB,3004,1000,4004
48,BEBB,3657,1242,4899
49,BEBB,2997,1386,4383
50,BEBB,3141,1210,4350
51,BEBB,2982,1176,4158
52,BEBB,3415,1295,4711
53,BEBB,2721,1315,4036
54,BEBB,2994,1503,4497
55,BEBB,3330,1655,4985
56,BEBB,3588,1362,4950
57,BEBB,2583,1369,3952
58,BEBB,3334,1795,5129
59,BEBB,3066,1515,4580
60,BEBB,3475,1145,4620
61,BEBB,3115,1155,4270
62,BEBB,2930,1702,4632
63,BEBB,3476,1474,4950
64,BEBB,2790,1220,4010
65,BEBB,2978,1439,4417
66,BEBB,2841,1729,4570
67,BEBB,3676,1714,5389
68,BEBB,3135,1732,4867
69,BEBB,3045,1455,4500
70,BEBB,3483,1613,5096
71,BEBB,2661,1960,4621
72,BEBB,2997,1707,4703
73,BEBB,3150,1404,4554
74,BEBB,2846,1398,4244
75,BEBB,3048,1485,4533
76,BEBB,3231,1308,4540
77,BEBB,3175,1448,4624
78,BEBB,3178,1459,4637
79,BEBB,3187,1268,4455
