id,Tipus,tp,tb,tt
1,BEBB,3358,1864,5222
2,BEBB,3094,1315,4409
3,BEBB,3010,1242,4252
4,BEBB,3144,1229,4373
5,BEBB,3051,1462,4513
6,BEBB,2926,1754,4680
7,BEBB,2799,1017,3815
8,BEBB,3272,1780,5052
9,BEBB,3333,1568,4901
10,BEBB,2955,1542,4497
11,BEBB,3210,1271,4480
12,BEBB,3295,1668,4963
13,BEBB,3815,1349,5164
14,BEBB,2670,1191,3861
15,BEBB,3199,1050,4249
16,BEBB,3114,1302,4416
17,BEBB,3316,912,4228
18,BEBB,3562,1204,4765
19,BEBB,2993,1647,4640
20,BEBB,3408,1800,5208
21,BEBB,3388,1403,4791
22,BEBB,3673,1406,5079
23,BEBB,2436,1275,3711
24,BEBB,3444,1274,4718
25,BEBB,3451,1612,5064
26,BEBB,3578,1337,4914
27,BEBB,3227,1769,4996
28,BEBB,2985,1487,4472
29,BEBB,3111,1279,4390
30,BEBB,3145,1337,4482
31,BEBB,3278,1086,4364
32,BEBB,2740,1728,4468
33,BEBB,3192,1286,4478
34,BEBB,3288,1347,4635
35,BEBB,3064,779,3843
36,BEBB,3133,1636,4768
37,BEBB,3726,1214,4939
38,BEBB,3309,1698,5008
39,BEBB,3346,1494,4839
40,BEBB,3531,1375,4906
41,BEBB,3072,1270,4342
42,BEBB,3112,1340,4452
43,BEBB,3116,1298,4414
44,BEBB,3418,1391,4809
45,BEBB,3301,1618,4919
46,BEBB,3014,1473,4487
47,BEBB,3239,1208,4447
48,BEBB,3313,1338,4651
49,BEBB,3066,1985,5051
50,BEBB,3279,1283,4562
51,BEBB,3248,1833,5081
52,BEBB,3386,1744,5130
53,BEBB,3207,949,4157
54,BEBB,3303,1310,4613
55,BEBB,3389,1397,4786
56,BEBB,3282,1122,4404
57,BEBB,3177,1428,4604
58,BEBB,2903,1444,4346
59,BEBB,3093,1412,4505
60,BEBB,3322,1850,5172
61,BEBB,3069,1386,4454
62,BEBB,3186,1647,4832
63,BEBB,3197,1675,4872
64,BEBB,3021,1460,4482
65,BEBB,3465,919,4385
66,BEBB,3458,1546,5003
67,BEBB,3215,1503,4719
68,BEBB,3311,1428,4739
69,BEBB,3295,1683,4978
70,BEBB,3346,1415,4761
71,BEBB,3207,1398,4605
72,BEBB,3520,1316,4836
73,BEBB,3220,1231,4451
74,BEBB,2981,1366,4347
75,BEBB,3111,1653,4764
76,BEBB,3175,1463,4639
77,BEBB,3403,1243,4646
78,BEBB,3365,1786,5151
79,BEBB,3232,1513,4745
80,BEBB,3518,1486,5004
81,BEBB,3197,1627,4824
82,BEBB,3285,1630,4915
83,BEBB,3306,1217,4523
84,BEBB,3091,1268,4359
85,BEBB,3420,1306,4726
86,BEBB,3371,1615,4987
87,BEBB,3197,1650,4848
88,BEBB,3597,1356,4953
89,BEBB,3298,1419,4717
90,BEBB,3231,1413,4644
91,BEBB,3251,1420,4671
92,BEBB,3518,1610,5128
93,BEBB,3058,1321,4379
94,BEBB,2965,1243,4208
95,BEBB,3116,1308,4424
96,BEBB,2966,1323,4289
97,BEBB,3848,1502,5350
98,BEBB,3304,1860,5164
99,BEBB,3224,1279,4503
100,BEBB,2999,1620,4619
101,BEBB,3237,1008,4245
102,BEBB,3531,1278,4809
103,BEBB,3107,1508,4615
104,BEBB,3271,1670,4940
105,BEBB,3181,1222,4403
106,BEBB,3054,807,3861
107,BEBB,3444,1609,5053
108,BEBB,3119,1290,4409
109,BEBB,3526,1208,4734
110,BEBB,3007,871,3878
111,BEBB,3236,1693,4929
112,BEBB,3132,1508,4640
113,BEBB,2867,1277,4144
114,BEBB,3847,1817,5664
115,BEBB,3126,1201,4327
116,BEBB,3804,1462,5265
117,BEBB,3382,1442,4824
118,BEBB,3365,1855,5220
119,BEBB,3570,1050,4620
120,BEBB,3106,1374,4480
121,BEBB,3560,1698,5258
122,BEBB,3267,1643,4910
123,BEBB,3082,1303,4385
124,BEBB,3158,1009,4167
125,BEBB,3293,1258,4551
126,BEBB,3192,1619,4812
127,BEBB,3205,1387,4592
128,BEBB,3171,1639,4810
129,BEBB,3264,1112,4376
130,BEBB,3052,1474,4526
131,BEBB,3518,1498,5016
132,BEBB,3285,1935,5220
133,BEBB,3374,1318,4691
134,BEBB,3076,1517,4593
135,BEBB,3425,1907,5332
136,BEBB,3397,1307,4704
137,BEBB,3326,1632,4958
138,BEBB,3499,1376,4875
139,BEBB,3167,1734,4901
140,BEBB,2819,1455,4274
141,BEBB,3166,1638,4804
142,BEBB,2818,1912,4730
143,BEBB,3490,1082,4572
144,BEBB,3600,1923,5523
145,BEBB,3291,1037,4328
146,BEBB,3435,1553,4988
147,BEBB,3752,1758,5509
148,BEBB,3175,1556,4730
149,BEBB,3299,1384,4683
150,BEBB,3402,1136,4538
151,BEBB,3217,1322,4539
152,BEBB,3280,1583,4863
153,BEBB,2916,1456,4372
154,BEBB,3095,1508,4602
155,BEBB,3556,1454,5010
156,BEBB,3226,1645,4872
157,BEBB,3526,1633,5159
158,BEBB,2689,1507,4196
159,BEBB,3103,1628,4731
160,BEBB,3070,1195,4265
161,BEBB,3238,1136,4375
162,BEBB,3272,1286,4558
163,BEBB,2925,1691,4617
164,BEBB,3092,1161,4253
165,BEBB,3410,1550,4960
166,BEBB,3356,628,3984
167,BEBB,2966,1414,4380
168,BEBB,3353,1215,4568
169,BEBB,2925,1929,4854
170,BEBB,3021,1445,4466
171,BEBB,3256,1233,4489
172,BEBB,3110,1559,4669
173,BEBB,2835,1380,4215
174,BEBB,3304,1356,4660
175,BEBB,3579,1000,4579
176,BEBB,3330,1457,4787
177,BEBB,3341,1012,4353
178,BEBB,3210,1555,4765
179,BEBB,3263,1008,4271
180,BEBB,3229,1057,4286
181,BEBB,3063,1402,4466
182,BEBB,2978,1169,4147
183,BEBB,3118,1496,4614
184,BEBB,3304,1275,4579
185,BEBB,3180,1371,4551
186,BEBB,3114,1458,4572
187,BEBB,2805,1548,4352
188,BEBB,3153,1508,4660
189,BEBB,3180,1623,4803
190,BEBB,3047,1495,4542
191,BEBB,2722,1395,4117
192,BEBB,2621,1224,3845
193,BEBB,3151,1527,4678
194,BEBB,2844,1299,4143
195,BEBB,3330,1127,4457
196,BEBB,2991,1194,4186
197,BEBB,3165,1726,4891
198,BEBB,3409,1722,5131
199,BEBB,3093,1451,4544
