id,Tipus,tp,tb,tt
1,BEBB,3292,1364,4656
2,BEBB,2984,1466,4450
3,BEBB,3271,838,4109
4,BEBB,2952,1636,4588
5,BEBB,3271,1516,4787
6,BEBB,3149,1499,4648
7,BEBB,2985,1990,4975
8,BEBB,2886,1266,4151
9,BEBB,3538,1349,4888
10,BEBB,3113,1293,4406
11,BEBB,3151,1093,4244
12,BEBB,2932,1627,4558
13,BEBB,3130,1203,4333
14,BEBB,3332,1198,4530
15,BEBB,3342,1409,4751
16,BEBB,2780,1610,4389
17,BEBB,3133,1262,4395
18,BEBB,3635,1394,5028
19,BEBB,3315,1287,4603
20,BEBB,3325,1466,4791
21,BEBB,3455,1208,4663
22,BEBB,3075,1288,4363
23,BEBB,3591,1944,5535
24,BEBB,2921,2074,4995
25,BEBB,3675,1379,5054
26,BEBB,3176,1586,4763
27,BEBB,3215,1211,4426
28,BEBB,3060,1159,4219
29,BEBB,3385,1653,5038
30,BEBB,3343,1412,4755
31,BEBB,2838,1349,4188
32,BEBB,3154,1394,4547
33,BEBB,3183,1256,4440
34,BEBB,3535,1518,5053
35,BEBB,2890,1459,4349
36,BEBB,2973,1659,4631
37,BEBB,3289,1038,4327
38,BEBB,3463,1775,5238
39,BEBB,3671,1682,5353
40,BEBB,3759,1335,5093
41,BEBB,2971,1462,4433
42,BEBB,3217,1402,4619
43,BEBB,2874,1641,4515
44,BEBB,3092,1296,4387
45,BEBB,3106,1109,4215
46,BEBB,3709,1507,5215
47,BEBB,3245,1287,4532
48,BEBB,3061,1749,4810
49,BEBB,3275,1288,4563
50,BEBB,3221,1272,4493
51,BEBB,3208,1275,4483
52,BEBB,3071,1739,4810
53,BEBB,3202,1675,4877
54,BEBB,3197,1050,4247
55,BEBB,3166,1528,4695
56,BEBB,3186,1765,4952
57,BEBB,3271,1527,4798
58,BEBB,3390,1295,4685
59,BEBB,3487,1752,5239
60,BEBB,2933,1338,4271
61,BEBB,3397,1629,5027
62,BEBB,3582,1041,4623
63,BEBB,3546,1490,5035
64,BEBB,3271,1641,4911
65,BEBB,2945,1410,4355
66,BEBB,3474,1172,4646
67,BEBB,3415,1520,4935
68,BEBB,3430,1864,5294
69,BEBB,2965,1614,4579
70,BEBB,3154,1801,4955
71,BEBB,3120,1339,4459
72,BEBB,3006,1121,4126
73,BEBB,3014,925,3939
74,BEBB,3197,1281,4478
75,BEBB,3084,1268,4353
76,BEBB,3041,1131,4172
77,BEBB,3527,1005,4532
78,BEBB,3462,1616,5078
79,BEBB,3220,1217,4437
80,BEBB,3381,1343,4724
81,BEBB,3837,1348,5185
82,BEBB,3299,1046,4344
83,BEBB,3202,1408,4610
84,BEBB,3187,1225,4411
85,BEBB,3395,976,4371
86,BEBB,3107,1375,4482
87,BEBB,3507,1735,5242
88,BEBB,3153,1936,5089
89,BEBB,3502,1558,5059
90,BEBB,3198,1589,4787
91,BEBB,3093,972,4065
92,BEBB,3003,1499,4502
93,BEBB,3666,1962,5628
94,BEBB,3177,1328,4505
95,BEBB,3219,1722,4941
96,BEBB,2931,1098,4029
97,BEBB,3216,1193,4409
98,BEBB,3376,1309,4685
99,BEBB,3201,1796,4997
100,BEBB,3333,1350,4682
101,BEBB,3357,1234,4592
102,BEBB,3063,1648,4710
103,BEBB,3612,1428,5039
104,BEBB,3411,1393,4804
